Au"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"	"gene_id"
"ENSMUSG00000034353"	"OK"	"negbinomial.size"	1.38927542554184e-46	3.1268735191928e-45	"ENSMUSG00000034353"	"Ramp1"	"Ramp1"	20602	TRUE	"ENSMUSG00000034353"
"ENSMUSG00000026276"	"OK"	"negbinomial.size"	1.2884218812143e-69	4.59267727332596e-68	"ENSMUSG00000026276"	"Sept2"	"Sept2"	24785	FALSE	"ENSMUSG00000026276"
"ENSMUSG00000026335"	"OK"	"negbinomial.size"	2.8290093534878e-56	7.91056026581194e-55	"ENSMUSG00000026335"	"Pam"	"Pam"	12230	TRUE	"ENSMUSG00000026335"
"ENSMUSG00000026385"	"OK"	"negbinomial.size"	8.57424871165435e-304	2.02339278309116e-301	"ENSMUSG00000026385"	"Dbi"	"Dbi"	27569	TRUE	"ENSMUSG00000026385"
"ENSMUSG00000026356"	"OK"	"negbinomial.size"	1.81922644919956e-46	4.0827740556604e-45	"ENSMUSG00000026356"	"Dars"	"Dars"	16678	FALSE	"ENSMUSG00000026356"
"ENSMUSG00000078193"	"OK"	"negbinomial.size"	2.55363663318051e-52	6.650985043777e-51	"ENSMUSG00000078193"	"Gm2000"	"Gm2000"	7037	FALSE	"ENSMUSG00000078193"
"ENSMUSG00000015829"	"OK"	"negbinomial.size"	9.09078763378148e-49	2.17161069625992e-47	"ENSMUSG00000015829"	"Tnr"	"Tnr"	2832	TRUE	"ENSMUSG00000015829"
"ENSMUSG00000026701"	"OK"	"negbinomial.size"	3.61196012790228e-46	8.03661128458258e-45	"ENSMUSG00000026701"	"Prdx6"	"Prdx6"	25574	TRUE	"ENSMUSG00000026701"
"ENSMUSG00000026576"	"OK"	"negbinomial.size"	4.55131981497032e-93	2.20145360615412e-91	"ENSMUSG00000026576"	"Atp1b1"	"Atp1b1"	19410	TRUE	"ENSMUSG00000026576"
"ENSMUSG00000038370"	"OK"	"negbinomial.size"	2.18660308511098e-103	1.19078122554558e-101	"ENSMUSG00000038370"	"Pcp4l1"	"Pcp4l1"	19264	TRUE	"ENSMUSG00000038370"
"ENSMUSG00000013593"	"OK"	"negbinomial.size"	7.11630745311943e-88	3.25033690857288e-86	"ENSMUSG00000013593"	"Ndufs2"	"Ndufs2"	26306	FALSE	"ENSMUSG00000013593"
"ENSMUSG00000007097"	"OK"	"negbinomial.size"	7.10348214670465e-127	5.2434471296173e-125	"ENSMUSG00000007097"	"Atp1a2"	"Atp1a2"	15429	TRUE	"ENSMUSG00000007097"
"ENSMUSG00000044708"	"OK"	"negbinomial.size"	3.95798536952525e-48	9.27001836546703e-47	"ENSMUSG00000044708"	"Kcnj10"	"Kcnj10"	2296	TRUE	"ENSMUSG00000044708"
